ID,Page 1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
10,,5.233844511,5.372936364,5.441748684,5.379509481,5.483438512,5.496490425,5.511253529,5.593830269,5.669783028,5.769436179,5.761552351,5.838101778,5.740348669,5.743368683,5.707001348,5.766002899,5.769553556,5.843115456,5.84972211,5.89532311,5.896086061,5.822079805,5.971713588,5.931299188,5.999964787,5.979152361,6.230040654,6.480976108,6.771081974,7.340733959,8.82878031,11.51914462,16.80076999,25.50451608,35.45302946,44.3114875,53.82518247,62.98037308,67.25195915,75.91398607
11,,5.29386333,5.584693021,5.686066432,5.656977188,5.707092175,5.757815847,5.797093156,5.77878233,5.877448256,5.916979183,5.827185708,5.997013591,5.845144403,5.911853717,5.869840543,6.005645838,5.884532801,5.985065232,6.007007412,6.036469062,6.013453371,6.043589939,6.15196812,6.112437193,6.208260217,6.192463217,6.367707215,6.583759314,6.912050813,7.74756029,9.060603749,11.80387071,17.32497608,26.80352836,38.02154065,46.93299529,55.44803031,65.41246483,73.18356016,81.5449251
12,,5.102235447,5.335774777,5.46364538,5.359884031,5.459261879,5.460345617,5.483438512,5.516136416,5.580351466,5.727219552,5.646651916,5.795963402,5.61684596,5.714830679,5.656926324,5.6765909,5.85817326,5.752433269,5.744640269,5.734223052,5.823496714,5.809821724,5.87472343,5.789400066,5.895432103,5.815213245,5.941041487,6.025024796,6.058645507,6.0826821,6.277847715,6.714204389,7.486310897,9.08242415,12.20915033,17.92896925,27.60923825,39.71557183,51.2667168,62.96951465
13,,5.521477073,5.793138526,5.762417029,5.805167722,5.932590336,6.016835787,6.030717585,5.946746014,6.091401541,6.063817925,6.145520205,6.140230411,6.152001657,6.065766384,6.105352647,6.207242949,6.201970761,6.202909778,6.233310445,6.251503894,6.290046263,6.286411841,6.214672639,6.353035078,6.430533303,6.465501895,6.698123727,6.971847105,7.305080667,8.423801727,10.19490466,13.84570949,20.74801905,30.87651343,40.48371099,49.407187,58.41818439,67.39827808,74.24391547,81.32107916
14,,5.483710994,5.696803235,5.741852563,5.816739147,5.806057832,5.854276341,5.921721218,5.851013258,5.96224482,6.010732179,5.926277126,6.103063794,6.001754788,5.904409164,6.018275613,6.174739276,6.166170748,6.138149636,6.175544148,6.143282216,6.064189619,6.073294169,6.23821513,6.170646728,6.245048154,6.342119009,6.565839745,6.758220798,7.004908319,7.803336639,9.318030714,12.50956414,18.32837415,27.87346456,37.91627157,47.34678307,56.21172983,64.80691888,72.0452539,80.03291589
15,,5.32387274,5.656988925,5.691942147,5.716465575,5.713588159,5.72137026,5.815104252,5.936573332,5.88627669,5.883268482,5.875662447,6.004777248,5.856412604,5.960500932,5.916304265,5.992922161,5.959480361,6.101510643,5.998556262,5.963836118,6.061118252,6.022831312,6.128837008,6.128213931,6.099794003,6.16739147,6.420451449,6.631443758,6.928206302,7.655560279,9.020578872,11.43490756,16.68230716,25.43055873,36.01516512,44.85062507,54.62483347,63.77388309,71.91627883,80.05809328
16,,4.955367361,5.420767529,5.347306238,5.458787925,5.484804557,5.430177259,5.51918822,5.562969875,5.623903258,5.704025839,5.677177785,5.922598611,5.708400092,5.739035512,5.711669882,5.872943211,5.853869434,5.770417116,5.848783093,5.896086061,5.777574324,5.736629282,5.904122479,5.912870985,5.982081549,5.913927379,6.085650064,6.063363088,6.023498894,6.073962659,6.224917983,6.394483864,6.927478564,7.709293834,9.174140119,12.3072228,18.28652922,27.09955338,36.86528827,45.80626129
17,,5.221637293,5.580224308,5.594466061,5.647567458,5.740209283,5.786729737,5.889219501,5.922378529,5.985762159,6.03130447,5.942450012,6.160939084,6.020992054,6.066869729,6.059005464,6.101370769,6.085415309,6.135080491,6.126158202,6.102388037,6.132709893,6.043812467,6.211947814,6.156252384,6.205953198,6.331646364,6.54217848,6.757893819,7.278771431,8.281609737,10.03239074,14.01508463,20.97342387,31.59014267,41.76353602,51.01110094,61.08466214,69.59569461,77.4858854,85.19569696
18,,5.266269932,5.551936429,5.685394182,5.637621705,5.791561761,5.870849986,5.888347557,5.99471483,6.167798377,6.092927443,6.097723136,6.221924867,5.973672318,6.138704509,6.170621297,6.177615015,6.176750337,6.172274357,6.203228373,6.226972082,6.197560736,6.225026976,6.308783915,6.30982354,6.365736956,6.392331252,6.677475141,6.850244438,7.23099616,7.936686797,9.439817831,12.47906286,18.55544013,28.32367907,39.34931171,48.86917932,58.28870069,67.82711528,76.33290491,83.97050649
19,,5.25101091,5.448057703,5.488016218,5.583886473,5.631799802,5.631451024,5.766002899,5.791125789,5.83962768,5.826950954,5.858374478,6.033962223,5.792869677,5.852656537,5.916903726,5.917993657,5.916979183,6.010528725,5.955596246,5.935172632,6.007680374,5.934820501,6.126933264,5.994048981,6.121614405,6.135216733,6.300802272,6.582029959,7.067392057,7.95564711,9.591959883,13.17182246,19.39706518,29.648483,39.50149949,48.58254586,57.27661672,66.49224431,72.95065886,78.34826957
20,,5.122453651,5.318708148,5.37379154,5.413392335,5.475852598,5.487335012,5.573312868,5.663335114,5.722031484,5.737087053,5.761102406,5.841662216,5.752768632,5.845622296,5.800775863,5.773026537,5.932238205,5.811017014,5.815649217,5.90442766,5.910288689,5.91070929,5.987258717,5.90436953,5.928511482,5.962789785,5.995487689,6.069711931,6.005515046,6.033886766,6.049490094,6.043444615,6.127587222,6.163118944,6.226596475,6.401541161,6.703796953,7.373813339,8.607328145,11.0924951
21,,5.480277714,5.777447166,5.844641358,5.997711147,6.111111111,6.166781109,6.187342641,6.278651538,6.342848423,6.294346532,6.315327687,6.414238847,6.32028687,6.285598026,6.242211541,6.50832497,6.397535668,6.419252526,6.455438206,6.429338013,6.469520104,6.403624605,6.497650559,6.442664225,6.536420015,6.614785992,6.780397243,7.007051848,7.47609909,8.256148114,10.05121945,13.57031768,20.20843824,30.61652317,41.5912108,50.95183599,60.99265806,70.62434831,78.70955626,86.57740139
22,,5.191627883,5.492778374,5.56801709,5.651472202,5.63635571,5.65865568,5.767719539,5.756847486,5.767088637,5.90136803,5.880521859,5.964890378,5.794568686,5.831998169,5.914498614,5.913176165,5.919483228,5.93556878,5.991236962,6.00548151,6.014292617,5.999629424,6.133936065,5.990809374,6.085842897,6.192721447,6.45049719,6.686503395,7.244474962,8.355840391,10.34479521,14.62394141,22.22464802,33.27734446,43.40450577,52.34922815,62.30847203,70.98638677,79.5028102,87.03473607
