domain,AC103,AC161,AC221,AC229,AC248,AC266,AC286,AC306,AC315,AC369,AC433,AC435,AC449,AC451,AC463,AC464,AC507,AC561,AC630,AC690,AC732,AC754,AC759,AC761,AC83,AC832,AC854,AC861,AC872
CL0329 ,8,8,10,10,10,9,10,9,11,10,11,8,7,7,11,9,9,7,8,11,8,8,7,8,10,13,9,8,8
CL0331 ,3,6,6,5,4,0,6,4,0,3,0,1,1,0,5,0,1,1,1,0,0,0,0,0,7,0,4,0,0
CL0332 ,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1
CL0333 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CL0334 ,4,4,5,5,4,4,5,4,5,6,5,4,4,3,6,4,5,7,4,5,3,3,3,3,6,5,5,4,3
CL0335 ,2,2,2,2,2,1,2,2,2,2,4,2,2,2,2,0,2,2,2,4,1,0,2,1,2,2,2,2,1
CL0336 ,13,8,5,6,6,5,5,7,11,7,10,3,4,10,9,4,2,14,19,10,15,4,5,4,9,12,4,14,5
CL0337 ,2,3,3,3,3,2,3,3,3,2,3,3,3,3,2,2,3,3,3,3,3,4,2,1,2,3,3,2,1
CL0339 ,1,1,1,1,2,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3
CL0340 ,1,1,1,1,1,1,1,1,1,1,2,1,1,4,1,0,1,1,1,2,3,0,4,3,1,1,1,1,3
CL0341 ,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CL0342 ,5,2,4,4,1,0,4,4,2,4,2,2,1,0,3,0,2,3,0,1,0,1,0,0,4,1,2,0,0
CL0344 ,13,11,6,7,7,4,6,11,10,6,9,4,5,2,7,6,4,14,4,8,8,5,2,4,9,10,7,12,4
CL0346 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CL0347 ,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4
CL0348 ,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0
CL0349 ,3,2,3,3,2,3,3,2,2,3,2,3,3,1,2,3,3,2,2,2,3,3,1,3,3,2,3,3,4
CL0350 ,0,1,0,0,0,2,0,3,8,0,6,3,3,0,0,1,2,5,1,7,1,0,1,0,0,6,0,0,0
CL0352 ,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,0,1,0,0,0,0,7,0
CL0354 ,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,2
CL0355 ,1,1,1,1,1,2,1,1,1,1,2,0,2,0,1,0,1,2,2,3,2,0,1,0,1,1,1,0,0
CL0357 ,4,1,2,2,1,0,3,3,1,1,0,2,0,3,2,0,0,1,2,0,3,0,4,0,1,0,1,2,0
CL0359 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0360 ,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1,2,0,1,0,0,2
CL0363 ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
CL0364 ,4,1,3,2,2,1,3,2,1,2,3,1,1,1,3,1,1,3,1,2,1,1,1,1,3,1,3,1,1
CL0365 ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
CL0366 ,3,1,1,1,1,1,1,1,1,2,1,3,2,1,3,2,1,1,0,2,1,5,0,1,1,1,1,0,1
CL0367 ,1,0,0,0,3,0,0,0,0,1,0,1,2,0,1,0,2,0,0,0,0,0,0,0,1,0,2,0,0
CL0368 ,1,2,1,1,4,6,1,3,0,1,0,1,1,2,0,3,0,1,1,0,2,1,0,2,0,0,2,0,2
CL0369 ,4,0,2,2,0,1,2,2,3,1,2,3,2,0,1,1,0,3,2,3,2,0,2,0,1,3,2,2,0
CL0371 ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL0372 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
